"Timestamp","How many years have MPMs been involved in your research?","You are comfortable at building stage-structured population models (i.e., MPMs or IPMs).","Population ecologists who use MPMs describe the methods associated with building the MPMs from raw data adequately for reproducibility in peer-reviewed publications.","Papers using MPMs identify and clearly define the names of stage/age/size classes used in their structure. ","Census duration, the period of time data are recorded (e.g., 6 months, 10 years), is reported with the MPMs in peer-reviewed publications.","Projection interval, the period of time between censuses (e.g., 3 months, 1 year), is reported with the MPMs in peer-reviewed publications.","Authors detail the formulas used to calculate vital rates (i.e., attributions from survival, sexual reproduction, clonal reproduction, retrogression towards a single matrix element) in peer-reviewed publications.","The life-cycle graph, which illustrates the discrete transitions involved in an MPM, is present in peer-reviewed publications using MPMs.","Population vectors, which define the structure of the population, are explicitly reported in peer-reviewed publications using MPMs.","Papers using MPMs display the MPM in a table or in the supplementary information. ","Given the current state of peer-reviewed publication practice around MPMs, I think a standardized method of MPM reporting is necessary for the coherent communication of MPMs in the literature."
"2022/05/31 3:05:46 PM GMT+1","5+","5","3","5","5","5","2","3","4","5","5"
"2022/05/31 7:20:16 PM GMT+1","5+","5","4","4","4","4","4","3","2","4","3"
"2022/05/31 11:32:55 PM GMT+1","5+","5","4","4","4","3","3","4","2","2","1"
"2022/06/01 9:32:15 AM GMT+1","5+","5","","","","","","","","","3"
"2022/06/02 7:50:34 AM GMT+1","5+","5","2","3","3","4","3","4","4","4","3"
"2022/06/02 12:16:17 PM GMT+1","5+","5","3","3","4","4","3","3","2","3","5"
"2022/06/03 3:56:13 PM GMT+1","4","2","3","4","5","4","3","3","3","4","4"
"2022/06/03 4:05:12 PM GMT+1","5+","5","3","4","3","4","4","4","3","4","4"
"2022/06/03 4:22:08 PM GMT+1","5+","5","4","4","3","3","3","2","2","4","5"
"2022/06/03 5:47:40 PM GMT+1","5+","4","3","3","2","5","3","3","2","5","4"
"2022/06/03 6:24:13 PM GMT+1","5+","3","4","4","4","4","3","2","2","3","3"
"2022/06/03 8:51:06 PM GMT+1","5+","5","1","4","4","4","3","3","3","4","5"
"2022/06/04 8:55:20 PM GMT+1","5+","5","2","3","4","3","3","2","2","3","1"
"2022/06/05 6:37:21 PM GMT+1","5+","5","3","5","4","4","5","5","4","4","4"
"2022/06/05 6:52:49 PM GMT+1","5+","5","4","4","4","4","3","3","2","4","4"
"2022/06/05 8:11:30 PM GMT+1","5+","1","3","2","3","3","3","3","2","3","4"
"2022/06/06 10:42:00 AM GMT+1","5+","5","4","4","3","2","1","3","2","2","4"
"2022/06/06 11:25:14 AM GMT+1","3","2","","","","","","","","",""
"2022/06/06 1:33:08 PM GMT+1","5+","2","3","3","4","2","1","4","2","1","5"
"2022/06/06 3:38:01 PM GMT+1","5+","4","3","4","4","3","2","2","1","3","5"
"2022/06/06 5:15:00 PM GMT+1","5+","5","3","4","4","5","3","3","2","4","5"
"2022/06/07 9:11:36 AM GMT+1","5+","4","3","4","5","3","2","4","4","3","5"
"2022/06/08 3:25:33 AM GMT+1","5+","5","3","4","5","5","3","2","3","5","4"
"2022/06/08 6:57:23 AM GMT+1","5+","5","4","4","4","4","3","1","1","1","5"
"2022/06/08 11:33:34 PM GMT+1","5+","5","3","4","3","5","4","4","4","5","5"
"2022/06/09 10:33:26 AM GMT+1","5+","5","4","4","4","5","4","3","4","4","4"
