"Timestamp","How many years have MPMs been involved in your research?","You are comfortable at building stage-structured population models (i.e., MPMs or IPMs).","Population ecologists who use MPMs describe the methods associated with building the MPMs from raw data adequately for reproducibility in peer-reviewed publications.","Papers using MPMs identify and clearly define the names of stage/age/size classes used in their structure. ","Census duration, the period of time data are recorded (e.g., 6 months, 10 years), is reported with the MPMs in peer-reviewed publications.","Projection interval, the period of time between censuses (e.g., 3 months, 1 year), is reported with the MPMs in peer-reviewed publications.","Authors detail the formulas used to calculate vital rates (i.e., attributions from survival, sexual reproduction, clonal reproduction, retrogression towards a single matrix element) in peer-reviewed publications.","The life-cycle graph, which illustrates the discrete transitions involved in an MPM, is present in peer-reviewed publications using MPMs.","Population vectors, which define the structure of the population, are explicitly reported in peer-reviewed publications using MPMs.","Papers using MPMs display the MPM in a table or in the supplementary information. ","Given the current state of peer-reviewed publication practice around MPMs, I think a standardized method of MPM reporting is necessary for the coherent communication of MPMs in the literature."
"2022/06/15 4:12:02 PM GMT+1","5+","4","5","5","5","5","3","3","2","4","4"
"2022/06/15 4:14:35 PM GMT+1","5+","5","3","3","4","4","4","3","4","3","4"
"2022/06/15 4:14:37 PM GMT+1","5+","4","1","2","2","3","1","2","2","1","2"
"2022/06/15 4:18:10 PM GMT+1","5+","5","4","4","5","5","4","4","2","3","5"
"2022/06/15 4:22:10 PM GMT+1","5+","5","4","5","5","4","3","4","3","3","5"
"2022/06/15 4:25:13 PM GMT+1","5+","4","3","3","4","4","3","4","4","3","2"
"2022/06/15 4:28:51 PM GMT+1","1","1","2","2","3","3","3","2","2","3","4"
"2022/06/15 4:43:45 PM GMT+1","5+","2","3","3","3","3","3","3","3","3","4"
"2022/06/15 5:10:31 PM GMT+1","5+","5","4","4","4","3","4","2","2","4","5"
"2022/06/15 5:48:59 PM GMT+1","5+","5","5","4","5","5","3","3","3","4","5"
"2022/06/15 6:03:34 PM GMT+1","5+","5","2","4","4","4","1","5","3","3","3"
"2022/06/15 6:32:19 PM GMT+1","5+","5","3","5","4","3","5","4","2","4","5"
"2022/06/15 6:37:44 PM GMT+1","5","5","2","3","2","4","3","2","1","4","5"
"2022/06/15 7:07:36 PM GMT+1","5","4","5","4","3","3","3","2","3","4","4"
"2022/06/15 7:23:42 PM GMT+1","5+","5","4","4","4","4","3","2","3","3","1"
"2022/06/15 9:27:18 PM GMT+1","5+","5","5","4","5","5","5","5","4","2","5"
"2022/06/15 9:37:57 PM GMT+1","5+","5","3","4","4","5","2","3","3","3","4"
"2022/06/16 1:46:48 AM GMT+1","5+","2","3","4","4","4","2","3","3","2","5"
"2022/06/16 1:47:01 AM GMT+1","5+","3","3","3","3","4","3","3","3","3","4"
"2022/06/16 7:04:31 AM GMT+1","5+","4","4","4","5","5","4","5","2","4","4"
"2022/06/16 7:59:34 AM GMT+1","5","5","2","4","4","4","3","2","2","2","5"
"2022/06/16 1:59:57 PM GMT+1","5+","5","4","5","5","5","4","3","3","2","4"
"2022/06/16 3:53:18 PM GMT+1","5+","5","4","5","5","5","2","5","4","5","5"
"2022/06/16 4:53:13 PM GMT+1","5+","4","3","4","4","4","3","4","4","4","5"
"2022/06/16 6:18:45 PM GMT+1","5+","5","4","4","4","4","3","3","4","3","4"
"2022/06/17 6:38:23 AM GMT+1","5+","5","3","4","2","4","4","4","1","2","5"
"2022/06/17 3:13:13 PM GMT+1","5+","5","4","4","3","4","3","4","2","5","4"
"2022/06/17 4:39:12 PM GMT+1","5+","5","4","4","3","3","3","4","3","4","5"
"2022/06/20 1:27:17 PM GMT+1","1","5","5","5","5","5","5","5","5","5","5"
"2022/06/21 8:24:54 PM GMT+1","5+","2","2","3","1","3","3","3","3","2","4"
"2022/06/29 2:26:19 PM GMT+1","2","4","4","5","3","3","2","3","2","2","5"
"2022/06/30 4:23:10 PM GMT+1","5+","4","5","5","5","5","2","3","2","5","5"
"2022/07/15 8:27:03 PM GMT+1","5+","5","3","5","4","4","3","2","4","5","5"
"2022/07/17 10:22:25 PM GMT+1","5+","4","3","3","5","4","4","4","3","5","4"
