digitizer,database,DOI,first_authour,journal,species,publication_date,census_date,projection_interval,life_cycle_diagram,matrix_presence,vital_rate_calculations,latitude_longitude,location,population_vectors
1,Compadre,10.1007/s11258-010-9762-5,Bermingham,Plant Ecology,Polemonium vanbruntiae,2010,1,1,1,1,1,0,1,0
1,Comadre,10.1890/07-0774.1,Morris,Ecology,Alaria nana/Ardisia escallonioides/Ardisia elliptica/Argyroxyphium sandwicense/Calathea ovandensis/Collinsia verna/Dicerandra frutescens/Eriogonum longifolium/Eryngium capitatum/Heliconia acuminata/HudsoniaÂ montana/Pleurophycus gardneri/Postelsia palmaeformis/Silene acaulis/Trillium grandiflorum/Ambystoma tigrinum/Andraca bipunctata/Bupalis piniarius/Calidris pusilla/Capreolus capreolus/Cervus elaphus/Colias alexandra/Euphydryas gillettii/GrusÂ americana/Leptidea sinapis/Leptinotarsa decemlineata/Leptohylemyia coarctata/Mesopsocus immunis/Mesopsocus unipunctatus/Oreamnos americanus/Ovis aries/Ovis canadensis/Rangifer tarandus/Scolytus ventralis/Tyria jacobaeae,2008,1,0,0,0,0,0,0,0
1,Compadre,10.2307/1939207,Huenneke,Ecology,Alnus incana spp. rugosa,1987,1,1,0,1,1,0,1,0
1,Comadre,10.1016/j.jembe.2011.07.018,Mercado-Molina,Journal of Experimental Marine Biology and Ecology,Amphimedon compressa,2011,1,1,0,1,1,1,1,1
1,Compadre,10.1890/05-0195,Shea,Ecology,Carduus nutans,2005,1,1,1,1,1,1,1,0
1,Comadre,10.1163/15685381-00002843,Zuniga-Vega,Amphibia-Reptilia,Sceloporus grammicus,2012,1,1,1,1,1,1,1,0
1,Compadre,10.1007/s10531-004-0827-4,Sinha,Biodiversity and Conservation,Phyllanthus emblica ,2005,1,1,0,1,1,1,1,0
1,Comadre,10.1111/j.1558-5646.2011.01366.x,Gamelon,Evolution ,Sus scrofa scrofa,2011,1,1,1,1,1,0,1,0
1,Compadre,10.3159/1095-5674(2007)134[369:PEOPHO]2.0.CO;2,Reddoch,Journal of the Torrey Botanical Society,Platanthera hookeri,2007,1,1,1,1,1,1,1,1
1,Comadre,10.1007/s10980-013-9896-7,Hovick,Landscape Ecology ,Ammodramus savannarum,2013,1,,0,1,1,0,1,0
1,Comadre,10.1111/eea.12325,Cibils-Stewart,Entomologia Experimentalis et Applicata,Brevicoryne brassicae L. ,2015,1,1,1,1,1,1,1,0
1,Comadre,10.1017/S0376892917000340,Pickett,Environmental Conservation ,Platalea minor,2017,1,1,1,1,1,0,1,0
1,Compadre,10.1086/284803,Platt,American Naturalist ,Pinus palustris,1988,1,1,0,1,1,0,1,1
1,Compadre,10.1086/510758,Campbell,The American Naturalist,Ipomopsis aggregata/tenuituba,2007,1,1,0,1,1,0,1,0
1,Comadre,10.1111/j.1523-1739.2003.00191.x,Holmes,Conservation Biology,Eumetopias jubatus,2003,1,1,0,1,1,0,1,0
1,Comadre,10.1016/S0006-3207(03)00171-X,Martinez-Gomez,Biological Conservation,Puffinus auricularis auricularis ,2004,1,1,0,1,1,0,1,1
1,Comadre,10.3354/meps081031,Ebert ,Marine Ecology Progress Series ,Strongylocentrotus franciscanus,1992,1,1,0,1,1,1,1,1
1,Compadre,10.1111/j.1442-1984.1993.tb00062.x,Whigham,Plant Species Biology,Cynoglossum virginianum L.,1993,1,0,0,0,1,1,1,1
1,Compadre,10.1371/journal.pone.0075563,Cerna,PLOS ONE,Anthericum liliago L./ramosum L.,2013,1,1,0,1,1,0,1,0
1,Comadre,10.1111/1365-2656.12399,Oâ€™Farrell,Journal of Animal Ecology,Sparisoma viride,2015,1,1,0,1,1,0,1,1
1,Comadre,10.1111/mms.12427,DeLong,Marine Mammal Science ,Zalophus californianus,2017,1,1,0,1,1,1,1,1
1,Compadre,10.1111/j.1365-2664.2004.00990.x,Emery,Journal of Applied Ecology,Centaurea maculosa,2005,1,1,1,1,1,0,1,1
1,Compadre,10.1017/S0266467402002018,Zuidema,Journal of Tropical Ecology,Bertholletia excelsa,2002,1,1,0,1,1,0,1,1
1,Compadre,10.1111/j.2041-210X.2011.00104.x,Travis,Methods in Ecology and Evolution,Rhododendron ponticum,2011,0,1,0,1,1,1,0,0
1,Compadre,10.2307/3237044,Abe,Journal of Vegetation Science ,Styrax obassia ,1998,1,1,1,1,1,0,1,1
1,Compadre,10.1111/j.1365-2745.2005.01007.x,Van Mantgem,Journal of Ecology,Abies concolor/Abies magnifica/Calocedrus decurrens/Pinus jeffreyi/Pinus lambertiana/Pinus ponderosa,2005,1,1,0,1,1,0,1,0
1,Compadre,10.2307/3236906,Tolvanen,Journal of Vegetation Science ,Carex aquatilis ssp. stans/Carex membranacea/Eriophorum angustifolium ssp. triste,2001,1,1,1,1,1,1,1,1
1,Compadre,10.1016/j.biocon.2009.12.037,Auestad,Biological Conservation,Pimpinella saxifraga,2010,1,1,1,1,1,1,1,0
1,Comadre,10.1038/s41467-018-03506-3,Van de Walle,Nature Communications ,Ursus arctos,2018,1,1,1,1,1,1,1,1
1,Compadre,10.1007/s10144-009-0143-7,Bremer,Population Ecology,Asplenium scolopendrium,2010,1,1,0,1,1,0,1,0
1,Compadre,10.2307/2937136,Horvitz,Ecological Monographs,Calathea ovandensis,1995,1,1,0,1,1,0,1,1
1,Comadre,10.1016/S0304-3800(03)00171-6,Freedman,Ecological Modelling,Ursus americanus,2003,0,1,1,1,1,0,1,0
1,Comadre,10.2307/2641117,Lindenmayer,Ecological Applications,Petauroides volans/Trichosurus caninus/Pseudocheirus peregrinus ,2000,1,1,0,1,1,1,1,0
1,Comadre,10.1046/j.1523-1739.2003.01552.x,Carroll,Conservation Biology,Canis lupus,2003,0,1,0,1,1,0,1,0
1,Comadre,10.1111/j.1600-0706.2011.19735.x,Perez-Heydrich,Oikos,Gopherus polyphemus,2012,0,1,1,1,1,0,1,0
1,Compadre,10.1002/ece3.765,del Castillo,Ecology and Evolution,Catopsis compacta,2013,1,1,0,1,1,0,1,0
1,Comadre,10.2981/13-021,Suzuki,Wildlife Biology,Lagopus muta japonica,2013,1,1,0,1,1,1,1,0
1,Comadre,10.2307/177030,Pease,Ecology,Ursus arctos,1999,1,1,0,1,1,0,1,1
1,Compadre,10.1007/s10457-011-9447-7,Somarriba,Agroforestry Systems,Acacia pennatula,2012,0,1,1,0,1,1,1,0
1,Comadre,10.1016/j.jglr.2011.11.002,Howe,Journal of Great Lakes Research,Petromyzon marinus,2012,1,1,1,1,1,0,1,0
